text,intent,language
qV6UeipXGY2fisAT7hgXDGPW91wmXu1kCMjHIjvEZydzwCpDZrcqKasTu7mlZ8g,No Intent,unknown
VqxO1Y5S1PEQvZycldVEOKj1vtX0JSCfPh8SK44hdn6mX8VoUOxAbNWGlV64TFF6Jt63g,No Intent,unknown
Dhj7LdRTzvGIQcFMCaciMKVug5rK2iwoBU5MJWGyv45eN5RL8ByAzgqV3fpskL8itFR9xe4Zhp9LAR2BiqQCFpnBCQUIxJ,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
The quick brown fox jumps over the lazy dog.,No Intent,unknown
1339087700017442,No Intent,unknown
unknown:Adios!,goodbye,unknown
She sells seashells by the seashore.,No Intent,unknown
Was ist los?,greet,en
3089587136067,No Intent,unknown
Could you share today's date information with me?,get_date,en
Würden Sie mir das heutige Datum verraten?,get_date,de
Can you clue me in on the time right now?,get_time,en
76547760763,No Intent,unknown
Grüße!,greet,de
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
Не могли бы вы просветить меня на сегодняшнюю дату?,get_date,ru
Darf ich Sie um die aktuelle Uhrzeit bitten?,get_time,de
Any idea what time it is right now?,get_time,en
The quick brown fox jumps over the lazy dog.,No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
unknown:So long!,goodbye,unknown
Peace and love!,goodbye,en
"Hey, wie geht es dir?",greet,de
Could you please inform me of the time?,get_time,en
"Hey, what's going on?",greet,en
DesP7jPGT9WFvXW2Idcamo26a9EOSazorc2HmOeEFRWr4KRETiQlnLMW5r,No Intent,unknown
unknown:Cheers!,goodbye,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
unknown:What's today's date looking like?,get_date,unknown
"To be or not to be, that is the question.",No Intent,unknown
HCFPxsdKQaFX0skjV721L4pb8fO3ag6KYCuMIckciuP7e3b85JbIyocIvyiSyGgrzYIHAgJG,No Intent,unknown
09035171586088227893,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
Good morning!,greet,en
What's the time according to your watch?,get_time,en
Не могли бы вы проинформировать меня о текущем времени?,get_time,ru
How are you holding up?,greet,en
Any chance you could tell me today's date?,get_date,en
Könnten Sie mich bitte über die Uhrzeit informieren?,get_time,de
"Hallo, wie läuft dein Tag?",greet,de
Any updates on today's date?,get_date,en
"Wie ist das aktuelle Datum, wenn ich fragen darf?",get_date,de
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
Was ist los?,greet,en
"Можете ли вы, пожалуйста, сообщить мне время?",get_time,ru
"To be or not to be, that is the question.",No Intent,unknown
33203,No Intent,unknown
476819343038,No Intent,unknown
The quick brown fox jumps over the lazy dog.,No Intent,unknown
Ta-ta for now!,goodbye,en
9820637864732,No Intent,unknown
To infinity and beyond!,goodbye,en
34931976506789103,No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
0662636,No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
Alles Gute!,goodbye,fr
Would you kindly let me know the time?,get_time,en
"unknown:Bis später, Krokodil!",goodbye,unknown
654407999,No Intent,unknown
Any chance you know what time it is?,get_time,en
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
unknown:Until next time!,goodbye,unknown
"So long, farewell!",goodbye,en
She sells seashells by the seashore.,No Intent,unknown
"Можете ли вы уточнить, какая сегодня дата?",get_date,ru
unknown:Stay safe!,goodbye,unknown
What's happening?,greet,en
"Haben Sie einen Moment, um mir die Uhrzeit zu sagen?",get_time,de
52858329614,No Intent,unknown
8252716802,No Intent,unknown
Könnten Sie mir bitte das heutige Datum angeben?,get_date,de
What's the current time on your end?,get_time,en
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
Can you tell me what time it is now?,get_time,en
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
Оставайтесь на связи!,goodbye,ru
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
"Не знаете ли вы, который час сейчас?",get_time,ru
"Haben Sie eine Idee, welches Datum heute ist?",get_date,de
У вас есть сегодняшняя дата под рукой?,get_date,ru
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
13vmtFgiRV5T0lEUPCAe1MfhJsxHdVGtA0JGsnTqD5ATFpm6,No Intent,unknown
64793,No Intent,unknown
Können Sie mir das Datum für heute mitteilen?,get_date,de
What's good?,greet,en
